Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
52	13	0.0624	2.08	423.153719	423.153264	423.152821	423.153719	0.000860715401	0.000196047149	0	22.7	1.66066	0	0	3
53	13	0.0636	2.12	423.153798	423.153339	423.152893	423.153798	0.000866866673	0.000196332414	0	22.6	1.65993	0	0	3
54	14	0.0648	2.16	423.153876	423.153415	423.152966	423.153876	0.000873293734	0.000196665714	0	22.5	1.66025	0	0	3
55	14	0.066	2.2	423.153956	423.153491	423.153039	423.153956	0.000879398033	0.000197016272	0	22.4	1.65902	0	0	3
56	14	0.0672	2.24	423.154036	423.153568	423.153112	423.154036	0.000885757345	0.000197405779	0	22.2	1.66298	0	0	3
57	14	0.0684	2.28	423.154117	423.153645	423.153186	423.154117	0.000891917089	0.000197812028	0	22.1	1.66185	0	0	3
58	15	0.0696	2.32	423.154196	423.153723	423.153261	423.154196	0.00089810477	0.000198236551	0	22	1.66115	0	0	3
59	15	0.0708	2.36	423.154277	423.153801	423.153336	423.154277	0.000904204733	0.000198673332	0	21.9	1.65667	0	0	3
60	15	0.072	2.4	423.154357	423.153879	423.153411	423.154357	0.000910307463	0.000199125399	0	21.8	1.66101	0	0	3
61	15	0.0732	2.44	423.15444	423.153959	423.153487	423.15444	0.000916356088	0.000199593956	0	21.7	1.65598	0	0	3
62	16	0.0744	2.48	423.154519	423.154038	423.153564	423.154519	0.00092215306	0.000200061987	0	21.6	1.65983	0	0	3
63	16	0.0756	2.52	423.1546	423.154118	423.153641	423.1546	0.000927885692	0.000200536687	0	21.6	1.65573	0	0	3
64	16	0.0768	2.56	423.154682	423.154198	423.153719	423.154682	0.000933437672	0.000201017051	0	21.5	1.65811	0	0	3
65	16	0.078	2.6	423.154763	423.154278	423.153798	423.154763	0.000938697482	0.000201502447	0	21.4	1.6545	0	0	3
66	17	0.0792	2.64	423.154843	423.154359	423.153876	423.154843	0.000943526719	0.000201984913	0	21.4	1.65725	0	0	3
67	17	0.0804	2.68	423.154917	423.154439	423.153956	423.154917	0.0009474807	0.000202447447	0	21.3	1.65171	0	0	3
68	17	0.0816	2.72	423.154989	423.154518	423.154036	423.154989	0.000950289893	0.0002028843	0	21.3	1.64975	0	0	3
69	17	0.0828	2.76	423.15506	423.154597	423.154117	423.15506	0.000943593943	0.000203293865	0	21.5	1.65507	0	0	3
70	18	0.084	2.8	423.155136	423.154675	423.154196	423.155136	0.000939654764	0.000203686721	0	21.6	1.65532	0	0	3
71	18	0.0852	2.84	423.155206	423.154753	423.154277	423.155206	0.000929333019	0.00020405234	0	21.9	1.65662	0	0	3
72	18	0.0864	2.88	423.15527	423.154829	423.154357	423.15527	0.000913114687	0.000204372801	0	22.3	1.65017	0	0	3
73	18	0.0876	2.92	423.155338	423.154905	423.15444	423.155338	0.000898472803	0.000204660727	0	22.7	1.65937	0	0	3
74	19	0.0888	2.96	423.155409	423.15498	423.154519	423.155409	0.000890540619	0.000204924083	0	23	1.65615	0	0	3
75	19	0.09	3	423.155474	423.155053	423.1546	423.155474	0.00087381348	0.000205147712	0	23.4	1.65804	0	0	3
76	19	0.0912	3.04	423.155542	423.155125	423.154682	423.155542	0.000860300164	0.000205339192	0	23.8	1.63196	0	0	3
77	19	0.0924	3.08	423.155605	423.155196	423.154763	423.155605	0.000841944057	0.00020548789	0	24.4	1.68013	0	0	3
78	20	0.0936	3.12	423.155673	423.155266	423.154843	423.155673	0.000829989659	0.000205607789	0	24.7	1.68849	0	0	3
79	20	0.0948	3.16	423.155736	423.155335	423.154917	423.155736	0.000818290841	0.000205685289	0	25.1	1.70428	0	0	3
80	20	0.096	3.2	423.155803	423.155403	423.154989	423.155803	0.000814064459	0.000205733535	0	25.2	1.71281	0	0	3
81	20	0.0972	3.24	423.155865	423.155471	423.15506	423.155865	0.000805149026	0.000205740701	0	25.5	1.72582	0	0	3
