Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
53	13	0.0636	2.12	101324.99	101325.049	101324.99	101325.088	0.0410448666	0.0256183606	0	62.4	19.9052	0	0	3
54	14	0.0648	2.16	101324.979	101325.04	101324.979	101325.085	0.0494454569	0.0256183606	0	51.8	19.8413	0	0	3
55	14	0.066	2.2	101324.957	101325.031	101324.957	101325.079	0.0587022531	0.0256183606	0	43.6	19.7812	0	0	3
56	14	0.0672	2.24	101324.957	101325.021	101324.957	101325.075	0.0680007093	0.0256183606	0	37.6	19.9545	0	0	3
57	14	0.0684	2.28	101324.935	101325.01	101324.935	101325.068	0.0767767911	0.0256183606	0	33.3	20.2304	0	0	3
58	15	0.0696	2.32	101324.916	101324.999	101324.916	101325.063	0.0869066417	0.0256183606	0	29.4	20.5191	0	0	3
59	15	0.0708	2.36	101324.894	101324.986	101324.894	101325.055	0.0966323942	0.0256183606	0	26.5	20.9802	0	0	3
60	15	0.072	2.4	101324.881	101324.972	101324.881	101325.048	0.106920161	0.0256183606	0	23.9	20.888	0	0	3
61	15	0.0732	2.44	101324.852	101324.957	101324.852	101325.037	0.117306095	0.0256183606	0	21.8	20.8697	0	0	3
62	16	0.0744	2.48	101324.843	101324.942	101324.843	101325.028	0.127188919	0.0256183606	0	20.1	21.2934	0	0	3
63	16	0.0756	2.52	101324.825	101324.927	101324.825	101325.016	0.136791561	0.0256183606	0	18.7	21.3726	0	0	3
64	16	0.0768	2.56	101324.808	101324.911	101324.808	101325.003	0.145796737	0.0256183606	0	17.5	21.4334	0	0	3
65	16	0.078	2.6	101324.795	101324.895	101324.795	101324.99	0.154054571	0.0256183606	0	16.6	21.7875	0	0	3
66	17	0.0792	2.64	101324.786	101324.879	101324.786	101324.979	0.161388759	0.0256183606	0	15.8	21.5989	0	0	3
67	17	0.0804	2.68	101324.82	101324.867	101324.786	101324.957	0.163831102	0.0256183606	0	15.6	22.2705	0	0	3
68	17	0.0816	2.72	101324.84	101324.858	101324.786	101324.957	0.163477385	0.0256183606	0	15.6	22.2086	0	0	3
69	17	0.0828	2.76	101324.84	101324.849	101324.786	101324.935	0.148787068	0.0256183606	0	17.2	21.9197	0	0	3
70	18	0.084	2.8	101324.836	101324.841	101324.786	101324.916	0.130079313	0.0256183606	0	19.6	21.4475	0	0	3
71	18	0.0852	2.84	101324.908	101324.841	101324.786	101324.908	0.122524808	0.0256183606	0	20.9	21.8724	0	0	3
72	18	0.0864	2.88	101324.874	101324.839	101324.786	101324.908	0.122524808	0.0256183606	0	20.9	21.4767	0	0	3
73	18	0.0876	2.92	101324.917	101324.842	101324.786	101324.917	0.118153456	0.0256183606	0	21.6	21.7825	0	0	3
74	19	0.0888	2.96	101324.907	101324.846	101324.786	101324.917	0.103272396	0.0256183606	0	24.8	21.8803	0	0	3
75	19	0.09	3	101324.959	101324.855	101324.786	101324.959	0.0876392553	0.0256183606	0	29.2	19.7417	0	0	3
76	19	0.0912	3.04	101324.938	101324.864	101324.786	101324.959	0.0716761832	0.0256183606	0	35.7	20.1356	0	0	3
77	19	0.0924	3.08	101324.984	101324.877	101324.786	101324.984	0.055693272	0.0256183606	0	45.9	18.0901	0	0	3
78	20	0.0936	3.12	101324.969	101324.891	101324.786	101324.984	0.0515720382	0.0256183606	0	49.6	18.4284	0	0	3
79	20	0.0948	3.16	101325.01	101324.908	101324.82	101325.01	0.0687956828	0.0256183606	0	37.2	16.7948	0	0	3
80	20	0.096	3.2	101324.999	101324.922	101324.836	101325.01	0.0825347112	0.0256183606	0	31	17.9489	0	0	3
81	20	0.0972	3.24	101325.034	101324.937	101324.836	101325.034	0.09745174	0.0256183606	0	26.2	16.1321	0	0	3
82	21	0.0984	3.28	101325.027	101324.951	101324.836	101325.034	0.111813299	0.0256183606	0	22.9	17.7493	0	0	3
83	21	0.0996	3.32	101325.056	101324.968	101324.874	101325.056	0.128777726	0.0256183606	0	19.8	16.1338	0	0	3
84	21	0.1008	3.36	101325.047	101324.978	101324.874	101325.056	0.139404531	0.0256183606	0	18.3	17.6069	0	0	3
85	21	0.102	3.4	101325.08	101324.994	101324.907	101325.08	0.152468185	0.0256183606	0	16.8	16.1136	0	0	3
86	22	0.1032	3.44	101325.068	101325.006	101324.907	101325.08	0.159849784	0.0256183606	0	16	17.2596	0	0	3
87	22	0.1044	3.48	101325.098	101325.021	101324.938	101325.098	0.159697667	0.0256183606	0	16	17.6367	0	0	3
88	22	0.1056	3.52	101325.084	101325.03	101324.938	101325.098	0.159697667	0.0256183606	0	16	17.5206	0	0	3
89	23	0.1068	3.56	101325.112	101325.044	101324.969	101325.112	0.142992304	0.0256183606	0	17.9	17.3666	0	0	3
90	23	0.108	3.6	101325.096	101325.052	101324.969	101325.112	0.142992304	0.0256183606	0	17.9	17.418	0	0	3
91	23	0.1092	3.64	101325.119	101325.064	101324.999	101325.119	0.120184003	0.0256183606	0	21.3	16.9435	0	0	3
92	23	0.1104	3.68	101325.107	101325.071	101324.999	101325.119	0.120184003	0.0256441292	0	21.3	17.3194	0	0	3
93	24	0.1116	3.72	101325.121	101325.081	101325.027	101325.121	0.0935749807	0.0257606595	0	27.5	16.3605	0	0	3
94	24	0.1128	3.76	101325.113	101325.087	101325.027	101325.121	0.0935749807	0.0258738121	0	27.6	16.6026	0	0	3
95	24	0.114	3.8	101325.11	101325.093	101325.047	101325.121	0.074026869	0.0259194167	0	35	15.9082	0	0	3
96	24	0.1152	3.84	101325.111	101325.097	101325.047	101325.121	0.074026869	0.0259637366	0	35	15.7317	0	0	3
97	25	0.1164	3.88	101325.109	101325.102	101325.068	101325.121	0.0527059742	0.0259529898	0	49.2	15.5433	0	0	3
98	25	0.1176	3.92	101325.106	101325.104	101325.068	101325.121	0.0527059742	0.0259425374	0	49.2	15.4358	0	0	3
99	25	0.1188	3.96	101325.103	101325.107	101325.084	101325.121	0.0368347289	0.0258828507	0	70.2	15.6124	0	0	3
100	25	0.12	4	101325.101	101325.107	101325.084	101325.121	0.0368347289	0.0258247556	0	70.1	15.7816	0	0	3
