Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
79	20	0.0948	3.16	0	0	0	0	0	1e-08	0	1000	0	0	0	3
80	20	0.096	3.2	0	0	0	0	0	1e-08	0	1000	0	0	0	3
81	20	0.0972	3.24	0	0	0	0	0	1e-08	0	1000	0	0	0	3
82	21	0.0984	3.28	0	0	0	0	0	1e-08	0	1000	0	0	0	3
83	21	0.0996	3.32	0	0	0	0	0	1e-08	0	1000	0	0	0	3
84	21	0.1008	3.36	0	0	0	0	0	1e-08	0	1000	0	0	0	3
85	21	0.102	3.4	0	0	0	0	0	1e-08	0	1000	0	0	0	3
86	22	0.1032	3.44	0	0	0	0	0	1e-08	0	1000	0	0	0	3
87	22	0.1044	3.48	0	0	0	0	0	1e-08	0	1000	0	0	0	3
88	22	0.1056	3.52	0	0	0	0	0	1e-08	0	1000	0	0	0	3
89	23	0.1068	3.56	0	0	0	0	0	1e-08	0	1000	0	0	0	3
90	23	0.108	3.6	0	0	0	0	0	1e-08	0	1000	0	0	0	3
91	23	0.1092	3.64	0	0	0	0	0	1e-08	0	1000	0	0	0	3
92	23	0.1104	3.68	0	0	0	0	0	1e-08	0	1000	0	0	0	3
93	24	0.1116	3.72	0	0	0	0	0	1e-08	0	1000	0	0	0	3
94	24	0.1128	3.76	0	0	0	0	0	1e-08	0	1000	0	0	0	3
95	24	0.114	3.8	0	0	0	0	0	1e-08	0	1000	0	0	0	3
96	24	0.1152	3.84	0	0	0	0	0	1e-08	0	1000	0	0	0	3
97	25	0.1164	3.88	0	0	0	0	0	1e-08	0	1000	0	0	0	3
98	25	0.1176	3.92	0	0	0	0	0	1e-08	0	1000	0	0	0	3
99	25	0.1188	3.96	0	0	0	0	0	1e-08	0	1000	0	0	0	3
100	25	0.12	4	0	0	0	0	0	1e-08	0	1000	0	0	0	3
